2.14135e-10,-1,1
2.14116e-10,4.70322e-08,1
2.14101e-10,2.35163e-08,1
2.1409e-10,1.56778e-08,1
2.14083e-10,1.17586e-08,1
2.1408e-10,9.4071e-09,1
2.14081e-10,7.83951e-09,1
2.14087e-10,6.71984e-09,1
2.14096e-10,5.88012e-09,1
2.1411e-10,5.22704e-09,1
2.14127e-10,4.7046e-09,1
2.14149e-10,4.27717e-09,1
2.14175e-10,3.921e-09,1
2.14205e-10,3.61965e-09,1
2.14239e-10,3.36138e-09,1
2.14277e-10,3.13755e-09,1
2.14319e-10,2.94172e-09,1
2.14365e-10,2.76895e-09,1
2.14416e-10,2.61539e-09,1
2.1447e-10,2.47801e-09,1
2.14529e-10,2.35438e-09,1
2.14591e-10,2.24254e-09,1
2.14658e-10,2.14088e-09,1
2.14729e-10,2.04806e-09,1
2.14805e-10,1.963e-09,1
2.14884e-10,1.88475e-09,1
2.14968e-10,1.81254e-09,1
2.15056e-10,1.74568e-09,1
2.15148e-10,1.68361e-09,1
2.15244e-10,1.62583e-09,1
