nu
481
445
550
465
566
497
478
521
352
422
506
443
434
422
569
439
437
461
351
390
418
378
521
394
504
440
465
418
418
465
447
433
460
382
532
482
472
532
473
525
513
489
474
379
472
544
507
409
498
468
593
523
478
438
423
408
386
428
560
483
450
468
441
460
480
429
457
464
431
424
502
465
492
446
482
510
434
623
468
471
475
518
566
464
394
480
321
502
460
458
362
503
446
421
407
448
490
482
463
459
