<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;;;;;;129;8;;;;;;;;39;20065,54785
MOEX,MDMG:TQBR;60;20201215;110000;460,2;;;;;;457,4375;0;131,5245824;;2,548387097;71,81818182;30;70;;0,00;38,89302172;17898,5686
MOEX,MDMG:TQBR;60;20201215;120000;461,5;;;;;;458,5;0;131,5245824;;2,096774194;67,70833333;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201215;130000;462,75;;;;;;459,29375;0;131,5245824;;3,548387097;78,0141844;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201215;140000;464,55;;;;;;460,50625;0;131,5245824;;3,306451613;76,77902622;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201215;150000;464,7;;;;;;461,41875;0;131,5245824;;2,919354839;74,48559671;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201215;160000;466,75;;;;;;462,41875;0;131,5245824;;2,85483871;74,05857741;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201215;170000;464,9;;;;;;462,90625;0;131,5245824;;4,783783784;82,71028037;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201215;180000;465,95;;;;;;463,9125;0;131,5245824;;4,108108108;80,42328042;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201215;190000;466,95;;;;;;464,75625;0;131,5245824;;3,945945946;79,78142077;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201216;110000;466,45;;;;;;465,375;0;131,5245824;;2,574468085;72,02380952;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201216;120000;466,15;;;;;;465,8;0;131,5245824;;1,603773585;61,5942029;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201216;130000;466,15;;;;;;466;0;131,5245824;;1,547169811;60,74074074;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201216;140000;466,2;;;;;;466,1875;0;131,5245824;;0,79245283;44,21052632;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201216;150000;457;;;;;;464,96875;0,287799961;0;;0,21;17,3553719;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201216;160000;458,1;;;;;;464,11875;0,287799961;0;;0,215;17,69547325;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201216;170000;458,1;;;;;;463,1375;0,287799961;0;;0,115;10,31390135;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201216;180000;457,8;;;;;;461,99375;0,287799961;0;;0,117346939;10,50228311;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201216;190000;456;;;;;;460,6875;0,287799961;0;;0,101769912;9,236947791;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201217;110000;457,95;;;;;;459,6625;0,287799961;0;;0,274336283;21,52777778;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201217;120000;452;;;;;;457,89375;0,287799961;0;;0,176811594;15,02463054;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201217;130000;448,45;;;;;;455,675;0,287799961;0;;0,262931034;20,81911263;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201217;140000;448,9;;;;;;454,6625;0,287799961;0;;0,206896552;17,14285714;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201217;150000;447;;;;;;453,275;0,287799961;0;;0,177777778;15,09433962;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201217;160000;449;;;;;;452,1375;0,287799961;0;;0,333333333;25;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201217;170000;449,1;;;;;;451,05;0,287799961;0;;0,394736842;28,30188679;30;70;;17949,13;0;17949,12953
MOEX,MDMG:TQBR;60;20201217;180000;453;;;;;;450,675;0;130,3733825;;0,565789474;36,13445378;30;70;;0,00;39,62280249;17949,12953
MOEX,MDMG:TQBR;60;20201217;190000;450,25;;;;;;449,7125;0;130,3733825;;0,786585366;44,02730375;30;70;;0,00;39,62280249;17840,16682
MOEX,MDMG:TQBR;60;20201218;110000;449,85;;;;;;449,44375;0;130,3733825;;1,277227723;56,08695652;30;70;;0,00;39,62280249;17824,3177
MOEX,MDMG:TQBR;60;20201218;120000;450,55;;;;;;449,70625;0;130,3733825;;1,326732673;57,0212766;30;70;;0,00;39,62280249;17852,05366
MOEX,MDMG:TQBR;60;20201218;130000;450,5;;;;;;449,90625;0;130,3733825;;2,09375;67,67676768;30;70;;0,00;39,62280249;17850,07252
MOEX,MDMG:TQBR;60;20201218;140000;450,15;;;;;;450,3;0,289622087;0;;1,323943662;56,96969697;30;70;;0,00;39,62280249;17836,20454
MOEX,MDMG:TQBR;60;20201218;150000;450,4;;;;;;450,475;0,289622087;0;;1,366197183;57,73809524;30;70;;0,00;39,62280249;17846,11024
MOEX,MDMG:TQBR;60;20201218;160000;450,95;;;;;;450,70625;0;130,6050802;;0,422535211;29,7029703;30;70;;0,00;39,62280249;17867,90278
MOEX,MDMG:TQBR;60;20201218;170000;451;;;;;;450,45625;0;130,6050802;;1,9375;65,95744681;30;70;;0,00;39,62280249;17869,88392
MOEX,MDMG:TQBR;60;20201218;180000;451,7;;;;;;450,6375;0;130,6050802;;5,625;84,90566038;30;70;;0,00;39,62280249;17897,61988
MOEX,MDMG:TQBR;60;20201218;190000;451,65;;;;;;450,8625;0;130,6050802;;3,444444444;77,5;30;70;;0,00;39,62280249;17895,63874
MOEX,MDMG:TQBR;60;20201221;110000;450,95;;;;;;450,9125;0;130,6050802;;1,409090909;58,49056604;30;70;;17867,90;0;17867,90278
MOEX,MDMG:TQBR;60;20201221;120000;450,5;;;;;;450,9125;0,289911388;0;;1,291666667;56,36363636;30;70;;17867,90;0;17867,90278
MOEX,MDMG:TQBR;60;20201221;130000;450,5;;;;;;450,95625;0,289911388;0;;1,083333333;52;30;70;;17867,90;0;17867,90278
MOEX,MDMG:TQBR;60;20201221;140000;451,5;;;;;;451,09375;0;130,8949916;;1,458333333;59,3220339;30;70;;17867,90;0;17867,90278
MOEX,MDMG:TQBR;60;20201221;150000;451;;;;;;451,1;0,290232797;0;;1;50;30;70;;17867,90;0;17867,90278
MOEX,MDMG:TQBR;60;20201221;160000;451,45;;;;;;451,15625;0;131,0255963;;0,852941176;46,03174603;30;70;;17867,90;0;17867,90278
MOEX,MDMG:TQBR;60;20201221;170000;449;;;;;;450,81875;0,291816473;0;;0,353658537;26,12612613;30;70;;17867,90;0;17867,90278
MOEX,MDMG:TQBR;60;20201221;180000;451;;;;;;450,7375;0;131,6092293;;1,014705882;50,3649635;30;70;;0,00;39,61840971;17867,90278
MOEX,MDMG:TQBR;60;20201221;190000;451,4;;;;;;450,79375;0;131,6092293;;1,305084746;56,61764706;30;70;;0,00;39,61840971;17883,75014
MOEX,MDMG:TQBR;60;20201222;110000;450,9;;;;;;450,84375;0;131,6092293;;1,115942029;52,73972603;30;70;;0,00;39,61840971;17863,94094
MOEX,MDMG:TQBR;60;20201222;120000;451,7;;;;;;450,99375;0;131,6092293;;1,057971014;51,4084507;30;70;;0,00;39,61840971;17895,63567
MOEX,MDMG:TQBR;60;20201222;130000;449,45;;;;;;450,7375;0,292822849;0;;0,701923077;41,24293785;30;70;;0,00;39,61840971;17806,49425
MOEX,MDMG:TQBR;60;20201222;140000;451,9;;;;;;450,85;0;132,3266453;;1,086538462;52,07373272;30;70;;0,00;39,61840971;17903,55935
MOEX,MDMG:TQBR;60;20201222;150000;450,3;;;;;;450,70625;0,293863303;0;;1,298850575;56,5;30;70;;0,00;39,61840971;17840,16989
MOEX,MDMG:TQBR;60;20201222;160000;451,1;;;;;;450,96875;0;132,5617359;;1,022988506;50,56818182;30;70;;0,00;39,61840971;17871,86462
MOEX,MDMG:TQBR;60;20201222;170000;451,3;;;;;;451,00625;0;132,5617359;;0,977011494;49,41860465;30;70;;0,00;39,61840971;17879,7883
MOEX,MDMG:TQBR;60;20201222;180000;451,2;;;;;;450,98125;0;132,5617359;;1,075949367;51,82926829;30;70;;0,00;39,61840971;17875,82646
