F1,F2,F3
1.791,75.691,0.066
1.407,48.225,0.063
1.307,39.302,0.063
1.184,31.281,0.061
1.014,22.346,0.06
0.923,19.333,0.057
0.871,17.778,0.057
0.83,17.048,0.057
0.818,16.783,0.057
0.812,16.851,0.057
