F1,F2,F3
1.134,22.247,0.065
0.98,16.266,0.064
0.938,15.164,0.064
0.896,14.876,0.063
0.872,14.369,0.062
0.83,13.372,0.06
0.789,12.687,0.059
0.718,11.182,0.058
0.669,10.694,0.056
0.63,10.603,0.054
0.625,10.607,0.054
