F1,F2,F3
2.045,95.325,0.07
1.613,61.293,0.063
1.437,51.078,0.059
1.356,44.293,0.059
1.301,40.488,0.059
1.232,37.236,0.059
1.175,36.303,0.058
1.171,34.918,0.058
