nu,af
321,1
351,1
352,1
362,1
378,1
379,1
382,1
386,1
390,1
394,2
407,1
408,1
409,1
418,3
421,1
422,2
423,1
424,1
428,1
429,1
431,1
433,1
434,2
437,1
438,1
439,1
440,1
441,1
443,1
445,1
446,2
447,1
448,1
450,1
457,1
458,1
459,1
460,3
461,1
462,1
463,1
464,2
465,3
468,3
471,1
472,2
473,1
474,1
475,1
478,2
480,2
481,1
482,3
483,1
489,1
490,1
492,1
497,1
498,1
502,2
503,1
504,1
506,1
507,1
510,1
513,1
518,1
521,2
523,1
525,1
532,2
544,1
550,1
560,1
566,2
569,1
593,1
623,1
