nu
460
525
503
482
470
400
398
514
518
383
412
320
473
438
359
569
423
460
372
383
409
444
463
482
394
434
518
522
511
437
352
406
448
493
468
345
523
498
482
487
331
416
358
463
462
413
506
465
411
451
466
433
492
503
451
415
459
442
424
397
414
437
512
525
546
422
495
452
465
391
426
482
428
510
478
421
510
351
493
411
422
402
438
485
496
453
377
540
502
408
417
474
480
483
472
477
378
576
452
543
538
523
434
458
