<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;20211001;0;173.4200000;173.4800000;169.6400000;170.9600000;8,614,130
MOEX;D;20211004;0;170.5000000;171.4700000;167.4300000;167.7300000;8,729,580
MOEX;D;20211005;0;168.1900000;174.0000000;167.6200000;174.0000000;12,162,580
MOEX;D;20211006;0;173.8000000;175.7600000;171.9000000;173.7400000;8,337,390
MOEX;D;20211007;0;173.8100000;178.1000000;172.9200000;177.0600000;6,136,660
MOEX;D;20211008;0;177.5000000;177.5100000;173.7300000;174.9000000;5,586,230
MOEX;D;20211011;0;174.4300000;177.7700000;174.2300000;176.5400000;6,201,710
MOEX;D;20211012;0;176.7000000;184.3600000;175.9600000;182.8200000;11,975,890
MOEX;D;20211013;0;182.5600000;182.8200000;177.8400000;181.3600000;9,190,200
MOEX;D;20211014;0;181.9900000;183.9100000;180.7600000;181.4200000;5,059,730
MOEX;D;20211015;0;181.7000000;186.4900000;179.4200000;185.7200000;11,402,180
MOEX;D;20211018;0;186.3400000;187.0000000;183.1300000;184.0900000;9,983,010
MOEX;D;20211019;0;185.3700000;185.9100000;178.8700000;180.4400000;11,162,390
MOEX;D;20211020;0;180.5200000;180.6000000;171.7800000;173.5000000;28,697,660
MOEX;D;20211021;0;173.4800000;173.4800000;170.0000000;170.6800000;25,880,610
MOEX;D;20211022;0;170.6000000;173.5600000;169.4000000;171.0000000;17,706,720
MOEX;D;20211025;0;171.0000000;175.1600000;170.3100000;174.2300000;11,930,890
MOEX;D;20211026;0;175.0500000;175.6400000;171.8000000;173.4300000;7,801,230
MOEX;D;20211027;0;173.0000000;174.9900000;171.7100000;173.6900000;8,209,150
MOEX;D;20211028;0;173.6400000;176.5000000;173.2000000;175.5200000;9,510,140
MOEX;D;20211029;0;176.1400000;176.1400000;172.5000000;173.3500000;6,773,870
MOEX;D;20211101;0;173.1000000;175.5800000;172.5100000;174.8200000;7,877,790
MOEX;D;20211102;0;175.0000000;175.3000000;173.0700000;173.1700000;4,962,750
MOEX;D;20211103;0;173.1700000;175.1900000;171.2300000;173.9000000;7,406,060
MOEX;D;20211105;0;174.1600000;174.9200000;172.2600000;172.9700000;4,450,880
MOEX;D;20211108;0;173.0000000;174.2600000;172.3500000;172.9000000;6,259,240
MOEX;D;20211109;0;173.2100000;173.9500000;172.3000000;172.9000000;7,509,810
MOEX;D;20211110;0;173.2000000;173.5900000;169.6200000;170.1600000;8,134,620
MOEX;D;20211111;0;170.2000000;171.4900000;167.6800000;171.1100000;8,592,760
MOEX;D;20211112;0;171.4900000;171.6600000;168.0100000;169.6400000;8,086,800
MOEX;D;20211115;0;169.5000000;173.7000000;168.8200000;171.6900000;7,430,440
MOEX;D;20211116;0;172.0000000;173.0900000;168.2200000;169.2600000;8,286,930
MOEX;D;20211117;0;169.3100000;170.0000000;168.1000000;168.4900000;9,927,100
MOEX;D;20211118;0;168.4400000;168.4500000;164.2200000;165.3500000;8,355,630
MOEX;D;20211119;0;165.8500000;167.6500000;160.7800000;161.8000000;10,346,400
MOEX;D;20211122;0;161.5000000;162.4700000;151.6000000;154.3500000;19,087,910
MOEX;D;20211123;0;154.3500000;159.4500000;151.0000000;159.4500000;17,911,820
MOEX;D;20211124;0;160.1000000;162.9600000;153.0100000;154.2500000;19,652,390
MOEX;D;20211125;0;154.5300000;157.6200000;154.1500000;156.3300000;8,638,460
