yi,x1,x2,x3,x4,x5,x6,x7,Xi,yX
,343.0,387.0,431.0,475.0,519.0,563.0,604.0,,
92.9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,
108.9,1.0,5.0,6.0,2.0,0.0,0.0,0.0,,
124.9,0.0,1.0,18.0,12.0,1.0,0.0,0.0,,
140.9,0.0,0.0,3.0,20.0,9.0,1.0,0.0,,
156.9,0.0,0.0,0.0,1.0,7.0,1.0,0.0,,
172.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,
188.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,
,,,,0.0,,,,,
,,,,,,,,,
