E
84.9
86.1
89.0
91.4
94.6
98.8
103.8
104.7
105.8
108.6
109.3
110.0
110.5
111.7
112.1
112.9
114.8
115.1
115.9
116.7
117.5
117.7
117.7
117.9
118.6
119.0
119.2
119.7
122.2
122.3
122.3
122.4
122.6
122.8
122.9
124.7
125.0
126.4
126.6
126.7
127.7
128.4
128.9
129.2
129.4
130.3
130.3
131.3
131.4
131.5
132.5
132.5
135.2
135.6
136.4
136.6
136.8
137.2
137.5
137.7
137.9
138.6
139.6
139.9
140.4
140.6
140.7
140.7
140.9
141.2
141.2
142.0
142.4
143.2
143.6
144.0
144.4
145.3
145.4
146.1
147.3
147.9
148.2
148.3
148.5
149.8
152.6
153.5
154.9
157.4
158.7
159.3
160.6
164.0
168.5
169.6
169.8
175.7
187.4
195.7
