E
135.2
124.7
147.9
140.9
168.5
147.3
136.6
139.6
84.9
117.9
153.5
122.9
140.4
108.6
157.4
119.2
129.4
138.6
89.0
91.4
131.4
103.8
154.9
117.7
145.3
126.7
114.8
109.3
118.6
127.7
117.5
131.5
136.8
98.8
160.6
148.2
122.6
158.7
137.9
148.3
159.3
149.8
132.5
94.6
135.6
169.6
142.4
116.7
164.0
142.0
187.4
152.6
126.6
122.2
115.9
110.0
105.8
130.3
169.8
130.3
122.3
128.9
122.8
140.7
117.7
112.9
126.4
143.2
125.0
119.0
137.2
140.7
137.5
128.4
136.4
140.6
122.3
195.7
141.2
119.7
143.6
144.4
175.7
131.3
112.1
146.1
86.1
132.5
122.4
104.7
111.7
148.5
144.0
115.1
110.5
137.7
139.9
141.2
129.2
145.4
