ni,ni*,-,-2,-2/
2,1.3,0.7,0.49,0.3769
5,5.512,-0.512,0.2621,0.0476
15,15.8288,-0.8288,0.6869,0.0434
27,27.2896,-0.2896,0.0839,0.0031
27,28.2464,-1.2464,1.5535,0.055
21,17.576,3.424,11.7238,0.667
7,8.2472,-1.2472,1.5555,0.1886
