inter,avg_inter,af,rf
"[64.5, 80.6)",72.55,2,0.019
"[80.6, 96.7)",88.64999999999999,5,0.048
"[96.7, 112.8)",104.74999999999999,15,0.144
"[112.8, 128.9)",120.84999999999998,27,0.26
"[128.9, 145.0)",136.95,27,0.26
"[145.0, 161.1)",153.04999999999995,21,0.202
"[161.1, 177.0)",169.04999999999998,7,0.067
