<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;;;;;;129;7;;;;;;;129,00;39;18526,71359;;129;39;19502,19842
MOEX,MDMG:TQBR;60;20201223;180000;451,85;;;;;;452,5642857;0,293016943;0;;0,361702128;26,5625;30;70;;17918,93;0;17918,93069;;8986,126472;19,79764298;17931,69145
MOEX,MDMG:TQBR;60;20201223;190000;451;;;;;;452,2285714;0,293016943;0;;0,140625;12,32876712;30;70;;17918,93;0;17918,93069;;8986,126472;19,79764298;17914,86346
MOEX,MDMG:TQBR;60;20201224;110000;451;;;;;;451,8357143;0,293016943;0;;0,225;18,36734694;30;70;;17918,93;0;17918,93069;;8986,126472;19,79764298;17914,86346
MOEX,MDMG:TQBR;60;20201224;120000;447,7;;;;;;451,1428571;0,293016943;0;;0,094736842;8,653846154;30;70;;17918,93;0;17918,93069;;8986,126472;19,79764298;17849,53123
MOEX,MDMG:TQBR;60;20201224;130000;450,3;;;;;;450,9;0,293016943;0;;0,547368421;35,37414966;30;70;;0,00;39,7933171;17918,93069;;6585,006205;25,12991095;17901,00511
MOEX,MDMG:TQBR;60;20201224;140000;450,1;;;;;;450,5642857;0,293016943;0;;0,577777778;36,61971831;30;70;;0,00;39,7933171;17910,97203;;6585,006205;25,12991095;17895,97912
MOEX,MDMG:TQBR;60;20201224;150000;449,35;;;;;;450,1857143;0,293016943;0;;0,509803922;33,76623377;30;70;;0,00;39,7933171;17881,12704;;6585,006205;25,12991095;17877,13169
MOEX,MDMG:TQBR;60;20201224;160000;449,4;;;;;;449,8357143;0,293016943;0;;0,623529412;38,4057971;30;70;;0,00;39,7933171;17883,1167;;6585,006205;25,12991095;17878,38819
MOEX,MDMG:TQBR;60;20201224;170000;448,5;;;;;;449,4785714;0,293016943;0;;0,514563107;33,97435897;30;70;;0,00;39,7933171;17847,30272;;6585,006205;25,12991095;17855,77127
MOEX,MDMG:TQBR;60;20201224;180000;448,55;;;;;;449,1285714;0,293016943;0;;1,459459459;59,34065934;30;70;;0,00;39,7933171;17849,29239;;6585,006205;25,12991095;17857,02776
MOEX,MDMG:TQBR;60;20201224;190000;451;;;;;;449,6;0;132,1506411;;1,378378378;57,95454545;30;70;;0,00;39,7933171;17946,78601;;6585,006205;25,12991095;17918,59604
MOEX,MDMG:TQBR;60;20201225;110000;450,9;;;;;;449,6857143;0;132,1506411;;1,457142857;59,30232558;30;70;;0,00;39,7933171;17942,80668;;6585,006205;25,12991095;17916,08305
MOEX,MDMG:TQBR;60;20201225;120000;450,85;;;;;;449,7928571;0;132,1506411;;2,428571429;70,83333333;30;70;;0,00;39,7933171;17940,81701;;6585,006205;25,12991095;17914,82656
MOEX,MDMG:TQBR;60;20201225;130000;450,9;;;;;;450,0142857;0;132,1506411;;2,428571429;70,83333333;30;70;;0,00;39,7933171;17942,80668;;6585,006205;25,12991095;17916,08305
MOEX,MDMG:TQBR;60;20201225;140000;450,8;;;;;;450,2142857;0;132,1506411;;10,2;91,07142857;30;70;;0,00;39,7933171;17938,82735;;6585,006205;25,12991095;17913,57006
MOEX,MDMG:TQBR;60;20201225;150000;450,9;;;;;;450,5571429;0;132,1506411;;10,4;91,22807018;30;70;;0,00;39,7933171;17942,80668;;6585,006205;25,12991095;17916,08305
MOEX,MDMG:TQBR;60;20201225;160000;449,05;;;;;;450,6285714;0,294289369;0;;0,071428571;6,666666667;30;70;;17869,19;0;17869,18904;;16127,41094;3,87970555;17869,59272
MOEX,MDMG:TQBR;60;20201225;170000;449,5;;;;;;450,4142857;0,294289369;0;;0,3;23,07692308;30;70;;17869,19;0;17869,18904;;16127,41094;3,87970555;17871,33858
MOEX,MDMG:TQBR;60;20201225;180000;452,05;;;;;;450,5785714;0;133,0335092;;1,615384615;61,76470588;30;70;;0,00;39,52923138;17869,18904;;9888,073223;17,68202325;17881,23183
MOEX,MDMG:TQBR;60;20201225;190000;452,05;;;;;;450,75;0;133,0335092;;1,58974359;61,38613861;30;70;;0,00;39,52923138;17869,18904;;9888,073223;17,68202325;17881,23183
MOEX,MDMG:TQBR;60;20201228;110000;451,2;;;;;;450,7928571;0;133,0335092;;1,148148148;53,44827586;30;70;;0,00;39,52923138;17835,5892;;9888,073223;17,68202325;17866,20211
MOEX,MDMG:TQBR;60;20201228;120000;451,4;;;;;;450,8785714;0;133,0335092;;1,185185185;54,23728814;30;70;;0,00;39,52923138;17843,49504;;9888,073223;17,68202325;17869,73852
MOEX,MDMG:TQBR;60;20201228;130000;451,8;;;;;;451,0071429;0;133,0335092;;4,235294118;80,8988764;30;70;;0,00;39,52923138;17859,30674;;9888,073223;17,68202325;17876,81133
MOEX,MDMG:TQBR;60;20201228;140000;451,75;;;;;;451,3928571;0;133,0335092;;3,5;77,77777778;30;70;;0,00;39,52923138;17857,33027;;9888,073223;17,68202325;17875,92723
MOEX,MDMG:TQBR;60;20201228;150000;450,5;;;;;;451,5357143;0,295301907;0;;0,279069767;21,81818182;30;70;;17807,92;0;17807,91874;;14345,67556;7,787234482;17853,8247
MOEX,MDMG:TQBR;60;20201228;160000;450,8;;;;;;451,3571429;0,295301907;0;;0,418604651;29,50819672;30;70;;17807,92;0;17807,91874;;14345,67556;7,787234482;17856,16087
MOEX,MDMG:TQBR;60;20201228;170000;451,1;;;;;;451,2214286;0,295301907;0;;0,923076923;48;30;70;;0,00;39,47665426;17807,91874;;11692,90146;13,66791305;17858,49704
MOEX,MDMG:TQBR;60;20201228;180000;451,75;;;;;;451,3;0;133,4026366;;1,269230769;55,93220339;30;70;;0,00;39,47665426;17833,57856;;11692,90146;13,66791305;17867,38118
MOEX,MDMG:TQBR;60;20201228;190000;451,6;;;;;;451,3285714;0;133,4026366;;0,862068966;46,2962963;30;70;;0,00;39,47665426;17827,65706;;11692,90146;13,66791305;17865,33099
MOEX,MDMG:TQBR;60;20201229;110000;451,8;;;;;;451,3285714;0;133,4026366;;1,035714286;50,87719298;30;70;;0,00;39,47665426;17835,55239;;11692,90146;13,66791305;17868,06458
MOEX,MDMG:TQBR;60;20201229;120000;448,9;;;;;;450,9214286;0,297176736;0;;0,475409836;32,22222222;30;70;;0,00;39,47665426;17721,0701;;11692,90146;13,66791305;17828,42763
MOEX,MDMG:TQBR;60;20201229;130000;452,65;;;;;;451,2285714;0;134,5170493;;1,606557377;61,63522013;30;70;;0,00;39,47665426;17869,10755;;11692,90146;13,66791305;17879,6823
MOEX,MDMG:TQBR;60;20201229;140000;453;;;;;;451,5428571;0;134,5170493;;1,62295082;61,875;30;70;;0,00;39,47665426;17882,92438;;11692,90146;13,66791305;17884,46607
MOEX,MDMG:TQBR;60;20201229;150000;450,6;;;;;;451,4714286;0,298528738;0;;0,788990826;44,1025641;30;70;;0,00;39,47665426;17788,18041;;11692,90146;13,66791305;17851,66308
MOEX,MDMG:TQBR;60;20201229;160000;453,75;;;;;;451,7571429;0;135,4574149;;1,405660377;58,43137255;30;70;;0,00;39,47665426;17912,53187;;11692,90146;13,66791305;17894,71701
MOEX,MDMG:TQBR;60;20201229;170000;451;;;;;;451,6714286;0,300349035;0;;0,900621118;47,38562092;30;70;;0,00;39,47665426;17803,97107;;11692,90146;13,66791305;17857,13025
MOEX,MDMG:TQBR;60;20201229;180000;451,1;;;;;;451,5714286;0,300349035;0;;1,427184466;58,8;30;70;;0,00;39,47665426;17807,91874;;11692,90146;13,66791305;17858,49704
MOEX,MDMG:TQBR;60;20201229;190000;451,55;;;;;;451,95;0,300349035;0;;0,786407767;44,02173913;30;70;;0,00;39,47665426;17825,68323;;11692,90146;13,66791305;17864,6476
MOEX,MDMG:TQBR;60;20201230;110000;452,9;;;;;;451,9857143;0;136,028078;;0,980582524;49,50980392;30;70;;0,00;39,47665426;17878,97671;;11692,90146;13,66791305;17883,09928
MOEX,MDMG:TQBR;60;20201230;120000;453,25;;;;;;452,0214286;0;136,028078;;1,963636364;66,25766871;30;70;;0,00;39,47665426;17892,79354;;11692,90146;13,66791305;17887,88305
MOEX,MDMG:TQBR;60;20201230;130000;454,25;;;;;;452,5428571;0;136,028078;;1,181818182;54,16666667;30;70;;0,00;39,47665426;17932,2702;;11692,90146;13,66791305;17901,55096
MOEX,MDMG:TQBR;60;20201230;140000;454,55;;;;;;452,6571429;0;136,028078;;1,290909091;56,34920635;30;70;;0,00;39,47665426;17944,11319;;11692,90146;13,66791305;17905,65134
MOEX,MDMG:TQBR;60;20201230;150000;454,2;;;;;;453,1142857;0;136,028078;;9,857142857;90,78947368;30;70;;0,00;39,47665426;17930,29636;;11692,90146;13,66791305;17900,86757
MOEX,MDMG:TQBR;60;20201230;160000;455,95;;;;;;453,8071429;0;136,028078;;13,57142857;93,1372549;30;70;;0,00;39,47665426;17999,38051;;11692,90146;13,66791305;17924,78642
MOEX,MDMG:TQBR;60;20201230;170000;457,5;;;;;;454,6571429;0;136,028078;;14,14285714;93,39622642;30;70;;0,00;39,47665426;18060,56932;;11692,90146;13,66791305;17945,97168
MOEX,MDMG:TQBR;60;20201230;180000;458,05;;;;;;455,3928571;0;136,028078;;14,71428571;93,63636364;30;70;;0,00;39,47665426;18082,28148;;11692,90146;13,66791305;17953,48903
MOEX,MDMG:TQBR;60;20201230;190000;457,4;;;;;;455,9857143;0;136,028078;;4,15;80,58252427;30;70;;0,00;39,47665426;18056,62166;;11692,90146;13,66791305;17944,60489
MOEX,MDMG:TQBR;60;20210104;110000;456,05;;;;;;456,2428571;0,298274483;0;;1,638297872;62,09677419;30;70;;18003,33;0;18003,32817;;12845,1648;11,14129681;17926,15321
MOEX,MDMG:TQBR;60;20210104;120000;457,8;;;;;;456,7071429;0;136,5500584;;2,8;73,68421053;30;70;;18003,33;0;18003,32817;;12845,1648;11,14129681;17945,65048
MOEX,MDMG:TQBR;60;20210104;130000;457,55;;;;;;457,1857143;0;136,5500584;;1,711111111;63,1147541;30;70;;18003,33;0;18003,32817;;13383,96402;9,963722295;17942,86515
MOEX,MDMG:TQBR;60;20210104;140000;457,75;;;;;;457,4428571;0;136,5500584;;1,111111111;52,63157895;30;70;;18003,33;0;18003,32817;;13383,96402;9,963722295;17944,8579
MOEX,MDMG:TQBR;60;20210104;150000;458,3;;;;;;457,5571429;0;136,5500584;;1,111111111;52,63157895;30;70;;18003,33;0;18003,32817;;13383,96402;9,963722295;17950,33794
MOEX,MDMG:TQBR;60;20210104;160000;457,65;;;;;;457,5;0;136,5500584;;1,111111111;52,63157895;30;70;;18003,33;0;18003,32817;;13383,96402;9,963722295;17943,86152
MOEX,MDMG:TQBR;60;20210104;170000;459,6;;;;;;457,8142857;0;136,5500584;;4,944444444;83,17757009;30;70;;18003,33;0;18003,32817;;13383,96402;9,963722295;17963,29078
MOEX,MDMG:TQBR;60;20210104;180000;459;;;;;;458,2357143;0;136,5500584;;1,8;64,28571429;30;70;;18003,33;0;18003,32817;;14247,95443;8,081390246;17957,31255
MOEX,MDMG:TQBR;60;20210104;190000;460;;;;;;458,55;0;136,5500584;;2,96;74,74747475;30;70;;18003,33;0;18003,32817;;14247,95443;8,081390246;17965,39394
MOEX,MDMG:TQBR;60;20210105;110000;466;;;;;;459,7571429;0;136,5500584;;7,6;88,37209302;30;70;;18003,33;0;18003,32817;;14247,95443;8,081390246;18013,88228
MOEX,MDMG:TQBR;60;20210105;120000;467,25;;;;;;461,1142857;0;136,5500584;;8,16;89,08296943;30;70;;18003,33;0;18003,32817;;14247,95443;8,081390246;18023,98402
