<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
AFLT;60;20201020;210000;58,44
AFLT;60;20201020;220000;58,38
AFLT;60;20201020;230000;58,4
AFLT;60;20201021;0;58,4
AFLT;60;20201021;110000;58,5
AFLT;60;20201021;120000;58,08
AFLT;60;20201021;130000;58,28
AFLT;60;20201021;140000;58,46
AFLT;60;20201021;150000;58,4
AFLT;60;20201021;160000;58,44
AFLT;60;20201021;170000;58,44
AFLT;60;20201021;180000;58,42
AFLT;60;20201021;190000;58,44
AFLT;60;20201021;200000;58,36
AFLT;60;20201021;210000;58,28
AFLT;60;20201021;220000;58,38
AFLT;60;20201021;230000;58,26
AFLT;60;20201022;0;58,42
AFLT;60;20201022;110000;58,36
AFLT;60;20201022;120000;58,5
AFLT;60;20201022;130000;58,66
AFLT;60;20201022;140000;59,3
AFLT;60;20201022;150000;59,04
AFLT;60;20201022;160000;59,26
AFLT;60;20201022;170000;59,36
AFLT;60;20201022;180000;59,22
AFLT;60;20201022;190000;59,24
AFLT;60;20201022;200000;59,38
AFLT;60;20201022;210000;59,38
AFLT;60;20201022;220000;59,58
AFLT;60;20201022;230000;59,58
AFLT;60;20201023;0;59,6
AFLT;60;20201023;110000;59,78
AFLT;60;20201023;120000;59,6
AFLT;60;20201023;130000;59,84
AFLT;60;20201023;140000;59,82
AFLT;60;20201023;150000;59,84
AFLT;60;20201023;160000;59,74
AFLT;60;20201023;170000;59,62
AFLT;60;20201023;180000;59,64
AFLT;60;20201023;190000;59,7
AFLT;60;20201023;200000;59,68
AFLT;60;20201023;210000;59,72
AFLT;60;20201023;220000;59,8
AFLT;60;20201023;230000;59,84
AFLT;60;20201024;0;59,82
AFLT;60;20201026;110000;59,3
AFLT;60;20201026;120000;59,2
AFLT;60;20201026;130000;59,38
AFLT;60;20201026;140000;59,38
AFLT;60;20201026;150000;59,36
AFLT;60;20201026;160000;59,46
AFLT;60;20201026;170000;59,06
AFLT;60;20201026;180000;58,58
AFLT;60;20201026;190000;58,28
AFLT;60;20201026;200000;58,26
AFLT;60;20201026;210000;58,24
AFLT;60;20201026;220000;58,3
AFLT;60;20201026;230000;58,4
AFLT;60;20201027;0;58,44
AFLT;60;20201027;110000;58,44
AFLT;60;20201027;120000;57,46
AFLT;60;20201027;130000;57,5
AFLT;60;20201027;140000;57,82
AFLT;60;20201027;150000;57,74
AFLT;60;20201027;160000;57,76
AFLT;60;20201027;170000;57,7
AFLT;60;20201027;180000;57,5
AFLT;60;20201027;190000;57,78
AFLT;60;20201027;200000;57,72
AFLT;60;20201027;210000;57,7
AFLT;60;20201027;220000;57,58
AFLT;60;20201027;230000;57,7
AFLT;60;20201028;0;57,58
AFLT;60;20201028;110000;56,9
AFLT;60;20201028;120000;56,5
AFLT;60;20201028;130000;56,14
AFLT;60;20201028;140000;56,14
AFLT;60;20201028;150000;55,98
AFLT;60;20201028;160000;55,42
AFLT;60;20201028;170000;55,36
AFLT;60;20201028;180000;55,1
AFLT;60;20201028;190000;55,3
AFLT;60;20201028;200000;55,26
AFLT;60;20201028;210000;55,34
AFLT;60;20201028;220000;55,54
AFLT;60;20201028;230000;55,42
AFLT;60;20201029;0;55,08
AFLT;60;20201029;110000;55,42
AFLT;60;20201029;120000;54,66
AFLT;60;20201029;130000;54,98
AFLT;60;20201029;140000;55,32
AFLT;60;20201029;150000;55,2
AFLT;60;20201029;160000;55,18
AFLT;60;20201029;170000;55,3
AFLT;60;20201029;180000;55,86
AFLT;60;20201029;190000;56,2
AFLT;60;20201029;200000;56,14
AFLT;60;20201029;210000;56,36
AFLT;60;20201029;220000;56,74
AFLT;60;20201029;230000;57,18
AFLT;60;20201030;0;56,72
AFLT;60;20201030;110000;56,28
AFLT;60;20201030;120000;56,82
AFLT;60;20201030;130000;57,14
AFLT;60;20201030;140000;57,44
AFLT;60;20201030;150000;57,46
AFLT;60;20201030;160000;57,26
AFLT;60;20201030;170000;57,08
AFLT;60;20201030;180000;57,3
AFLT;60;20201030;190000;56,9
AFLT;60;20201030;200000;57,54
AFLT;60;20201030;210000;57,6
AFLT;60;20201030;220000;57,56
AFLT;60;20201030;230000;57,3
AFLT;60;20201031;0;57,3
AFLT;60;20201102;110000;55,92
AFLT;60;20201102;120000;56,26
AFLT;60;20201102;130000;56,28
AFLT;60;20201102;140000;56,34
AFLT;60;20201102;150000;56,26
AFLT;60;20201102;160000;56,2
AFLT;60;20201102;170000;56,48
AFLT;60;20201102;180000;56,5
AFLT;60;20201102;190000;56,38
AFLT;60;20201102;200000;56,48
AFLT;60;20201102;210000;56,74
AFLT;60;20201102;220000;56,5
AFLT;60;20201102;230000;56,54
AFLT;60;20201103;0;56,48
AFLT;60;20201103;110000;57,38
AFLT;60;20201103;120000;57,44
AFLT;60;20201103;130000;57,8
AFLT;60;20201103;140000;58,14
AFLT;60;20201103;150000;58,52
AFLT;60;20201103;160000;58,04
AFLT;60;20201103;170000;58,26
AFLT;60;20201103;180000;58,44
AFLT;60;20201103;190000;58,44
AFLT;60;20201103;200000;57,96
AFLT;60;20201103;210000;58
AFLT;60;20201103;220000;57,98
AFLT;60;20201103;230000;57,96
AFLT;60;20201104;0;58
AFLT;60;20201105;110000;59,1
AFLT;60;20201105;120000;59,68
AFLT;60;20201105;130000;59,2
AFLT;60;20201105;140000;59,24
AFLT;60;20201105;150000;59,6
AFLT;60;20201105;160000;59,64
AFLT;60;20201105;170000;59,64
AFLT;60;20201105;180000;59,64
AFLT;60;20201105;190000;59,62
AFLT;60;20201105;200000;59,38
AFLT;60;20201105;210000;58,88
AFLT;60;20201105;220000;58,86
AFLT;60;20201105;230000;58,98
AFLT;60;20201106;0;58,94
AFLT;60;20201106;110000;58,94
AFLT;60;20201106;120000;59,68
AFLT;60;20201106;130000;59,3
AFLT;60;20201106;140000;59,42
AFLT;60;20201106;150000;59,42
AFLT;60;20201106;160000;59,46
AFLT;60;20201106;170000;59,56
AFLT;60;20201106;180000;59,56
AFLT;60;20201106;190000;59,5
AFLT;60;20201106;200000;59,64
AFLT;60;20201106;210000;59,6
AFLT;60;20201106;220000;59,6
AFLT;60;20201106;230000;59,66
AFLT;60;20201107;0;59,66
AFLT;60;20201109;110000;59,9
AFLT;60;20201109;120000;60,88
AFLT;60;20201109;130000;61,5
AFLT;60;20201109;140000;61,7
AFLT;60;20201109;150000;63,1
AFLT;60;20201109;160000;64,7
AFLT;60;20201109;170000;64,08
AFLT;60;20201109;180000;64,4
AFLT;60;20201109;190000;64,7
AFLT;60;20201109;200000;64,24
AFLT;60;20201109;210000;64,64
AFLT;60;20201109;220000;64,7
AFLT;60;20201109;230000;65,04
AFLT;60;20201110;0;65,12
AFLT;60;20201110;110000;64,62
AFLT;60;20201110;120000;65,32
AFLT;60;20201110;130000;65,68
AFLT;60;20201110;140000;65,66
AFLT;60;20201110;150000;65,92
AFLT;60;20201110;160000;66
AFLT;60;20201110;170000;65,96
AFLT;60;20201110;180000;65,7
AFLT;60;20201110;190000;65
AFLT;60;20201110;200000;64,88
AFLT;60;20201110;210000;65
AFLT;60;20201110;220000;65,5
AFLT;60;20201110;230000;65,4
AFLT;60;20201111;0;65,34
AFLT;60;20201111;110000;66,82
AFLT;60;20201111;120000;66,18
AFLT;60;20201111;130000;66,66
AFLT;60;20201111;140000;66,9
AFLT;60;20201111;150000;67,08
AFLT;60;20201111;160000;66,42
AFLT;60;20201111;170000;66,6
AFLT;60;20201111;180000;67,04
AFLT;60;20201111;190000;67,3
AFLT;60;20201111;200000;66,98
AFLT;60;20201111;210000;66,88
AFLT;60;20201111;220000;66,86
AFLT;60;20201111;230000;66,84
AFLT;60;20201112;0;66,94
AFLT;60;20201112;110000;65,96
AFLT;60;20201112;120000;66,16
AFLT;60;20201112;130000;66,4
AFLT;60;20201112;140000;66,32
AFLT;60;20201112;150000;66,28
AFLT;60;20201112;160000;65,62
AFLT;60;20201112;170000;66,28
AFLT;60;20201112;180000;66,34
AFLT;60;20201112;190000;66,3
AFLT;60;20201112;200000;66,22
AFLT;60;20201112;210000;66,14
AFLT;60;20201112;220000;66,04
AFLT;60;20201112;230000;65,32
AFLT;60;20201113;0;64,96
AFLT;60;20201113;110000;64,7
AFLT;60;20201113;120000;65,64
AFLT;60;20201113;130000;66,58
AFLT;60;20201113;140000;66,68
AFLT;60;20201113;150000;66,32
AFLT;60;20201113;160000;66,52
AFLT;60;20201113;170000;66,7
AFLT;60;20201113;180000;66,8
AFLT;60;20201113;190000;66,86
AFLT;60;20201113;200000;66,9
AFLT;60;20201113;210000;66,92
AFLT;60;20201113;220000;66,98
AFLT;60;20201113;230000;67,04
AFLT;60;20201114;0;67,3
AFLT;60;20201116;110000;69,12
AFLT;60;20201116;120000;68,5
AFLT;60;20201116;130000;69,28
AFLT;60;20201116;140000;69,06
AFLT;60;20201116;150000;69,04
AFLT;60;20201116;160000;69,24
AFLT;60;20201116;170000;69,28
AFLT;60;20201116;180000;68,64
AFLT;60;20201116;190000;68,9
AFLT;60;20201116;200000;68,98
AFLT;60;20201116;210000;69,06
AFLT;60;20201116;220000;69,36
AFLT;60;20201116;230000;69,46
AFLT;60;20201117;0;69,44
AFLT;60;20201117;110000;68,42
AFLT;60;20201117;120000;67,46
AFLT;60;20201117;130000;67,12
AFLT;60;20201117;140000;67,06
AFLT;60;20201117;150000;67,02
AFLT;60;20201117;160000;67,4
AFLT;60;20201117;170000;66,86
AFLT;60;20201117;180000;66,9
AFLT;60;20201117;190000;67,3
AFLT;60;20201117;200000;67,54
AFLT;60;20201117;210000;67,58
AFLT;60;20201117;220000;67,44
AFLT;60;20201117;230000;67,84
AFLT;60;20201118;0;67,5
AFLT;60;20201118;110000;68,06
AFLT;60;20201118;120000;68,62
AFLT;60;20201118;130000;68,56
AFLT;60;20201118;140000;68,5
AFLT;60;20201118;150000;69,02
AFLT;60;20201118;160000;69,54
AFLT;60;20201118;170000;68,9
AFLT;60;20201118;180000;69,06
AFLT;60;20201118;190000;69,36
AFLT;60;20201118;200000;69,26
AFLT;60;20201118;210000;69,18
AFLT;60;20201118;220000;69,24
AFLT;60;20201118;230000;69,06
AFLT;60;20201119;0;68,08
AFLT;60;20201119;110000;68,54
AFLT;60;20201119;120000;68,34
AFLT;60;20201119;130000;68,34
AFLT;60;20201119;140000;68,34
AFLT;60;20201119;150000;67,74
AFLT;60;20201119;160000;67,8
AFLT;60;20201119;170000;67,92
AFLT;60;20201119;180000;67,98
AFLT;60;20201119;190000;68,2
AFLT;60;20201119;200000;67,92
AFLT;60;20201119;210000;67,96
AFLT;60;20201119;220000;68,08
AFLT;60;20201119;230000;68,58
AFLT;60;20201120;0;68,54
AFLT;60;20201120;110000;68,24
AFLT;60;20201120;120000;68,66
AFLT;60;20201120;130000;68,52
AFLT;60;20201120;140000;68,96
AFLT;60;20201120;150000;69,02
AFLT;60;20201120;160000;68,98
AFLT;60;20201120;170000;68,9
AFLT;60;20201120;180000;68,94
AFLT;60;20201120;190000;68,9
AFLT;60;20201120;200000;68,84
AFLT;60;20201120;210000;68,74
AFLT;60;20201120;220000;68,9
AFLT;60;20201120;230000;68,84
AFLT;60;20201121;0;68,98
AFLT;60;20201123;110000;69,86
AFLT;60;20201123;120000;69,76
AFLT;60;20201123;130000;69,52
AFLT;60;20201123;140000;69,36
AFLT;60;20201123;150000;69,2
AFLT;60;20201123;160000;69,52
AFLT;60;20201123;170000;69,4
AFLT;60;20201123;180000;69,3
AFLT;60;20201123;190000;69,22
AFLT;60;20201123;200000;69,3
AFLT;60;20201123;210000;69,3
AFLT;60;20201123;220000;69,44
AFLT;60;20201123;230000;69,5
AFLT;60;20201124;0;69,48
AFLT;60;20201124;110000;69,64
AFLT;60;20201124;120000;70,8
AFLT;60;20201124;130000;71,54
AFLT;60;20201124;140000;71,48
AFLT;60;20201124;150000;71,16
AFLT;60;20201124;160000;71,48
AFLT;60;20201124;170000;71,98
AFLT;60;20201124;180000;72,08
AFLT;60;20201124;190000;71,9
AFLT;60;20201124;200000;71,94
AFLT;60;20201124;210000;71,94
AFLT;60;20201124;220000;72,3
AFLT;60;20201124;230000;72,34
AFLT;60;20201125;0;72,62
AFLT;60;20201125;110000;73,66
AFLT;60;20201125;120000;73,38
AFLT;60;20201125;130000;71,48
AFLT;60;20201125;140000;71,66
AFLT;60;20201125;150000;71,86
AFLT;60;20201125;160000;72,16
AFLT;60;20201125;170000;71,58
AFLT;60;20201125;180000;71,34
AFLT;60;20201125;190000;71,48
AFLT;60;20201125;200000;71,98
AFLT;60;20201125;210000;71,72
AFLT;60;20201125;220000;71,98
AFLT;60;20201125;230000;72,1
AFLT;60;20201126;0;72,18
AFLT;60;20201126;110000;71,98
AFLT;60;20201126;120000;72
AFLT;60;20201126;130000;71,32
AFLT;60;20201126;140000;71,36
AFLT;60;20201126;150000;71,4
AFLT;60;20201126;160000;70,8
AFLT;60;20201126;170000;70,68
AFLT;60;20201126;180000;71,02
AFLT;60;20201126;190000;71,3
AFLT;60;20201126;200000;71,44
AFLT;60;20201126;210000;71,2
AFLT;60;20201126;220000;71,3
AFLT;60;20201126;230000;71,34
AFLT;60;20201127;0;71,24
AFLT;60;20201127;110000;70,48
AFLT;60;20201127;120000;70,94
AFLT;60;20201127;130000;71,16
AFLT;60;20201127;140000;71,2
AFLT;60;20201127;150000;71,2
AFLT;60;20201127;160000;71,06
AFLT;60;20201127;170000;71,2
AFLT;60;20201127;180000;71,84
AFLT;60;20201127;190000;72,1
AFLT;60;20201127;200000;72
AFLT;60;20201127;210000;71,96
AFLT;60;20201127;220000;71,98
AFLT;60;20201127;230000;72,04
AFLT;60;20201128;0;72
AFLT;60;20201130;110000;71,98
AFLT;60;20201130;120000;72,28
AFLT;60;20201130;130000;71,98
AFLT;60;20201130;140000;71,86
AFLT;60;20201130;150000;71,86
AFLT;60;20201130;160000;71,9
AFLT;60;20201130;170000;72
AFLT;60;20201130;180000;71,58
AFLT;60;20201130;190000;72,18
AFLT;60;20201130;200000;71,6
AFLT;60;20201130;210000;71,66
AFLT;60;20201130;220000;71,58
AFLT;60;20201130;230000;71,7
AFLT;60;20201201;0;71,66
AFLT;60;20201201;110000;72,06
AFLT;60;20201201;120000;72,1
AFLT;60;20201201;130000;71,92
AFLT;60;20201201;140000;72,06
AFLT;60;20201201;150000;72
AFLT;60;20201201;160000;71,8
AFLT;60;20201201;170000;71,8
AFLT;60;20201201;180000;71,84
AFLT;60;20201201;190000;71,9
AFLT;60;20201201;200000;71,98
AFLT;60;20201201;210000;72,02
AFLT;60;20201201;220000;72
AFLT;60;20201201;230000;72,12
AFLT;60;20201202;0;72,18
AFLT;60;20201202;110000;72,08
AFLT;60;20201202;120000;71,88
AFLT;60;20201202;130000;71,78
AFLT;60;20201202;140000;72,12
AFLT;60;20201202;150000;72,06
AFLT;60;20201202;160000;72,16
AFLT;60;20201202;170000;72,04
AFLT;60;20201202;180000;72,08
AFLT;60;20201202;190000;72,02
AFLT;60;20201202;200000;72,3
AFLT;60;20201202;210000;72,48
AFLT;60;20201202;220000;72,46
AFLT;60;20201202;230000;72,48
AFLT;60;20201203;0;72,5
AFLT;60;20201203;110000;73,26
AFLT;60;20201203;120000;73,34
AFLT;60;20201203;130000;73,58
AFLT;60;20201203;140000;74,06
AFLT;60;20201203;150000;73,7
AFLT;60;20201203;160000;73,44
AFLT;60;20201203;170000;73,3
AFLT;60;20201203;180000;73,48
AFLT;60;20201203;190000;73,5
AFLT;60;20201203;200000;74,04
AFLT;60;20201203;210000;74
AFLT;60;20201203;220000;73,86
AFLT;60;20201203;230000;73,9
AFLT;60;20201204;0;74
AFLT;60;20201204;110000;74,72
AFLT;60;20201204;120000;75,06
AFLT;60;20201204;130000;74,34
AFLT;60;20201204;140000;74,14
AFLT;60;20201204;150000;74,24
AFLT;60;20201204;160000;74,02
AFLT;60;20201204;170000;73,58
AFLT;60;20201204;180000;73,72
