avg_inter,rf,u,nu,nu2,nu3,nu4,nu4+
343.0,0.04,-3.0,-0.12,0.36,-1.08,3.24,0.64
387.0,0.09,-2.0,-0.18,0.36,-0.72,1.44,0.09
431.0,0.27,-1.0,-0.27,0.27,-0.27,0.27,0.0
475.0,0.35,0.0,0.0,0.0,0.0,0.0,0.35
519.0,0.17,1.0,0.17,0.17,0.17,0.17,2.72
563.0,0.06,2.0,0.12,0.24,0.48,0.96,4.859999999999999
604.0,0.02,3.0,0.06,0.18,0.54,1.62,5.12
3322.0,1.0,0.0,-0.22,1.58,-0.88,7.7,13.78
