x,x-x_mean,v,f(v)
320,-128.88034188034186,-2.207230772727251,-0.4863510295399678
354,-94.88034188034186,-1.6249399037101409,-0.4479123177175061
388,-60.88034188034186,-1.0426490346930304,-0.35144456489226406
422,-26.88034188034186,-0.4603581656759202,-0.1773704213420935
456,7.1196581196581405,0.12193270334119012,0.04852384232996335
490,41.11965811965814,0.7042235723583004,0.2593532233096696
524,75.11965811965814,1.2865144413754106,0.40086820895032943
558,109.11965811965814,1.868805310392521,0.46917504710610664
592,143.11965811965814,2.4510961794096313,0.4928789053859129
626,177.11965811965814,3.0333870484267416,0.498790873899181
