ni,ni*,-,-2,-2/
4,3.29,0.71,0.5041,0.1532
9,11.86,-2.86,8.1796,0.6897
27,26.14,0.86,0.7396,0.0283
35,30.61,4.39,19.2721,0.6296
17,19.87,-2.87,8.2369,0.4145
6,6.81,-0.81,0.6561,0.0963
2,1.42,0.58,0.3364,0.2369
