xi,xi+1,ni,zi,zi+1,F(zi),F(zi+1),pi,ni*
84.9,100.9,6,-inf,-1.56,-0.5,-0.4406,0.0594,5.94
100.9,116.9,14,-1.56,-0.76,-0.4406,-0.2764,0.1642,16.42
116.9,132.9,32,-0.76,0.04,-0.2764,0.016,0.2924,29.24
132.9,148.9,33,0.04,0.84,0.016,0.2995,0.2835,28.35
148.9,164.9,9,0.84,1.64,0.2995,0.4495,0.15,15.0
164.9,180.9,4,1.64,2.44,0.4495,0.4927,0.0432,4.32
180.9,195.7,2,2.44,inf,0.4927,0.5,0.0073,0.73
