E,af,rf
64.5,1,0.009615384615384616
71.9,1,0.009615384615384616
81.7,1,0.009615384615384616
84.6,1,0.009615384615384616
87.7,1,0.009615384615384616
95.9,1,0.009615384615384616
96.1,1,0.009615384615384616
98.3,1,0.009615384615384616
102.9,1,0.009615384615384616
103.8,1,0.009615384615384616
107.1,1,0.009615384615384616
107.4,1,0.009615384615384616
107.5,1,0.009615384615384616
108.6,2,0.019230769230769232
108.7,1,0.009615384615384616
109.0,1,0.009615384615384616
109.7,1,0.009615384615384616
110.0,1,0.009615384615384616
110.8,1,0.009615384615384616
112.1,1,0.009615384615384616
112.4,1,0.009615384615384616
112.9,1,0.009615384615384616
113.5,1,0.009615384615384616
114.6,1,0.009615384615384616
115.1,1,0.009615384615384616
115.2,1,0.009615384615384616
115.9,1,0.009615384615384616
116.1,1,0.009615384615384616
116.7,1,0.009615384615384616
117.1,1,0.009615384615384616
117.9,1,0.009615384615384616
118.6,1,0.009615384615384616
120.5,1,0.009615384615384616
120.8,1,0.009615384615384616
122.9,1,0.009615384615384616
123.4,1,0.009615384615384616
124.0,1,0.009615384615384616
124.3,3,0.028846153846153848
124.5,1,0.009615384615384616
125.9,1,0.009615384615384616
126.4,1,0.009615384615384616
126.6,1,0.009615384615384616
126.7,1,0.009615384615384616
128.0,1,0.009615384615384616
128.2,1,0.009615384615384616
128.6,1,0.009615384615384616
128.9,1,0.009615384615384616
129.2,1,0.009615384615384616
129.7,1,0.009615384615384616
130.0,2,0.019230769230769232
130.3,2,0.019230769230769232
131.0,1,0.009615384615384616
131.6,1,0.009615384615384616
132.5,1,0.009615384615384616
134.1,1,0.009615384615384616
135.6,1,0.009615384615384616
136.4,1,0.009615384615384616
136.7,1,0.009615384615384616
137.2,1,0.009615384615384616
137.5,1,0.009615384615384616
137.9,1,0.009615384615384616
138.6,1,0.009615384615384616
138.8,1,0.009615384615384616
139.9,1,0.009615384615384616
140.6,1,0.009615384615384616
140.7,2,0.019230769230769232
140.9,1,0.009615384615384616
143.8,1,0.009615384615384616
144.3,1,0.009615384615384616
144.9,1,0.009615384615384616
145.4,1,0.009615384615384616
146.0,2,0.019230769230769232
146.6,1,0.009615384615384616
148.2,1,0.009615384615384616
148.3,1,0.009615384615384616
148.5,1,0.009615384615384616
149.5,1,0.009615384615384616
149.7,1,0.009615384615384616
150.1,1,0.009615384615384616
150.9,1,0.009615384615384616
151.3,1,0.009615384615384616
152.6,1,0.009615384615384616
153.5,1,0.009615384615384616
153.9,2,0.019230769230769232
154.0,1,0.009615384615384616
155.3,1,0.009615384615384616
155.4,1,0.009615384615384616
156.7,1,0.009615384615384616
157.4,1,0.009615384615384616
165.0,1,0.009615384615384616
165.9,1,0.009615384615384616
169.9,1,0.009615384615384616
170.1,1,0.009615384615384616
172.8,1,0.009615384615384616
174.6,1,0.009615384615384616
177.0,1,0.009615384615384616
