E
64.5
71.9
81.7
84.6
87.7
95.9
96.1
98.3
102.9
103.8
107.1
107.4
107.5
108.6
108.6
108.7
109.0
109.7
110.0
110.8
112.1
112.4
112.9
113.5
114.6
115.1
115.2
115.9
116.1
116.7
117.1
117.9
118.6
120.5
120.8
122.9
123.4
124.0
124.3
124.3
124.3
124.5
125.9
126.4
126.6
126.7
128.0
128.2
128.6
128.9
129.2
129.7
130.0
130.0
130.3
130.3
131.0
131.6
132.5
134.1
135.6
136.4
136.7
137.2
137.5
137.9
138.6
138.8
139.9
140.6
140.7
140.7
140.9
143.8
144.3
144.9
145.4
146.0
146.0
146.6
148.2
148.3
148.5
149.5
149.7
150.1
150.9
151.3
152.6
153.5
153.9
153.9
154.0
155.3
155.4
156.7
157.4
165.0
165.9
169.9
170.1
172.8
174.6
177.0
