E
124.5
148.3
146.6
148.2
124.0
114.6
109.0
174.6
154.0
109.7
117.9
64.5
137.9
134.1
71.9
157.4
115.9
140.7
81.7
107.4
116.7
130.0
136.7
150.1
112.1
118.6
151.3
143.8
149.5
124.3
87.7
112.4
125.9
129.7
128.9
95.9
152.6
144.3
139.9
146.0
84.6
120.5
98.3
144.9
138.8
110.8
153.5
140.9
112.9
124.3
130.3
130.0
137.5
148.5
128.6
107.1
145.4
123.4
117.1
108.6
113.5
129.2
169.9
165.9
177.0
122.9
150.9
131.0
140.7
107.5
128.2
136.4
131.6
140.6
126.6
115.1
153.9
102.9
149.7
115.2
108.6
120.8
126.7
138.6
155.3
126.4
96.1
156.7
137.2
110.0
124.3
132.5
153.9
130.3
135.6
146.0
103.8
170.1
116.1
155.4
165.0
172.8
108.7
128.0
