nu_mean,E_mean,num
-1.3831,-1.1355,9.0
-1.9918,-2.2403,6.0
-0.7158,-0.6896,21.0
-0.0775,-0.1232,21.0
0.4524,0.4858,23.0
1.4976,1.8711,7.0
1.1865,0.9683,17.0
