nu_mean,E_mean,num
-1.3831,-1.1355,9.0
-0.7158,-0.6896,21.0
-0.0775,-0.1232,21.0
1.3114,1.2802,22.0
0.4883,0.5027,25.0
-1.9918,-2.2403,6.0
