nu_mean,E_mean,num
0.3097,0.2642,13.0
0.1516,0.1023,9.0
0.6508,0.5939,15.0
0.8392,0.812,7.0
0.3995,0.3712,17.0
0.482,0.3117,9.0
0.504,0.4945,30.0
