Номер кластера,Центр кластера,Количество элементов в кластере
1,(-0.0294042169854218 : 0.06868813095241261),72
2,(1.342186825428838 : 1.210104850517267),22
3,(-1.34686405930226 : -1.4401333952484419),21
4,(-2.1754394392808516 : -2.465932878978102),1
5,(2.528303696654842 : 2.393057608215714),1
