inter,avg_inter,af,rf,cum_sum
"[320, 357)",338.5,5.0,0.0481,0.0481
"[357, 394)",375.5,8.0,0.0769,0.125
"[394, 431)",412.5,23.0,0.2212,0.3462
"[431, 468)",449.5,25.0,0.2404,0.5866
"[468, 505)",486.5,24.0,0.2308,0.8174
"[505, 542)",523.5,15.0,0.1442,0.9616
"[542, 576)",559.0,4.0,0.0385,1.0001
