avg_inter,rf,u,nu,nu2,nu3,nu4,nu4+
338.5,0.048,-3.0,-0.14400000000000002,0.432,-1.296,3.888,0.768
375.5,0.077,-2.0,-0.154,0.308,-0.616,1.232,0.077
412.5,0.221,-1.0,-0.221,0.221,-0.221,0.221,0.0
449.5,0.24,0.0,0.0,0.0,0.0,0.0,0.24
486.5,0.231,1.0,0.231,0.231,0.231,0.231,3.696
523.5,0.144,2.0,0.288,0.576,1.152,2.304,11.664
559.0,0.039,3.0,0.11699999999999999,0.351,1.053,3.159,9.984
3145.0,1.0,0.0,0.11699999999999994,2.1189999999999998,0.30299999999999994,11.035,26.429000000000002
