,72.0,87.0,102.0,117.0,132.0,147.0,162.0,177.0,192.0
337.0,4,4,1,0,0,0,0,0,0
371.0,1,0,3,0,0,0,0,0,0
405.0,0,3,9,14,1,0,0,0,0
439.0,0,0,1,10,12,2,0,0,0
473.0,0,0,0,3,12,9,0,0,0
507.0,0,0,0,0,2,8,6,1,0
541.0,0,0,0,0,0,2,5,0,0
575.0,0,0,0,0,0,0,1,2,0
609.0,0,0,0,0,0,0,0,0,1
