x,n,y,log_x,log_x2,log_y,log_x_log_y
343.0,4.0,96.9,5.838,34.079,4.574,26.7
387.0,9.0,105.34,5.958,35.503,4.657,27.75
431.0,27.0,123.12,6.066,36.798,4.813,29.197
475.0,35.0,134.04,6.163,37.986,4.898,30.189
519.0,17.0,146.55,6.252,39.086,4.987,31.181
563.0,6.0,164.9,6.333,40.11,5.105,32.334
604.0,2.0,188.3,6.404,41.006,5.238,33.542
,100.0,,43.014,264.569,34.273,210.892
