x,n,y,nx1,nx2,nx3,nx4,ny,nyx1,nyx2
343.0,4.0,96.9,1372.0,470596.0,161414428.0,55365148804.0,387.6,132946.80000000002,45600752.400000006
387.0,9.0,105.34,3483.0,1347921.0,521645427.0,201876780249.0,948.0600000000001,366899.22000000003,141989998.14000002
431.0,27.0,123.12,11637.0,5015547.0,2161700757.0,931693026267.0,3324.2400000000002,1432747.44,617514146.64
475.0,35.0,134.04,16625.0,7896875.0,3751015625.0,1781732421875.0,4691.4,2228415.0,1058497124.9999999
519.0,17.0,146.55,8823.0,4579137.0,2376572103.0,1233440921457.0,2491.3500000000004,1293010.6500000001,671072527.35
563.0,6.0,164.9,3378.0,1901814.0,1070721282.0,602816081766.0,989.4000000000001,557032.2000000001,313609128.6
604.0,2.0,188.3,1208.0,729632.0,440697728.0,266181427712.0,376.6,227466.40000000002,137389705.6
0.0,100.0,0.0,46526.0,21941522.0,10483767350.0,5073105808130.0,13208.65,6238517.710000001,2985673383.7299995
