inter,avg_inter,af,rf
"[320, 357)",338.5,5.0,0.04807692307692308
"[357, 394)",375.5,8.0,0.07692307692307693
"[394, 431)",412.5,23.0,0.22115384615384615
"[431, 468)",449.5,25.0,0.2403846153846154
"[468, 505)",486.5,24.0,0.23076923076923078
"[505, 542)",523.5,15.0,0.14423076923076922
"[542, 576)",559.0,4.0,0.038461538461538464
