Номер кластера,Центр кластера,Количество элементов в кластере
1,(0.2689075630252101 : 0.2995261570861054),17
2,(0.6448717948717947 : 0.6807973962571197),20
3,(0.47069597069597074 : 0.5869464140416134),14
4,(0.8202511773940346 : 0.7903057073114029),14
5,(0.05535205535205535 : 0.10912214085525718),9
6,(0.3829733484905899 : 0.45568306164249034),29
7,(0.564625850340136 : 0.5221434383354644),14
