,0,1,2,3,4,5,6,7,8
n_x,5.0,7.0,14.0,27.0,27.0,21.0,12.0,3.0,1.0
x_mean_gr,343.8,366.14285714285717,395.2857142857143,425.14814814814815,457.8888888888889,489.1904761904762,526.8333333333334,552.3333333333334,609.0
D_x_gr,46.24000000000015,23.591836734693636,94.36734693877567,191.87379972565145,228.34567901234493,317.179138321995,200.69444444444335,513.777777777776,0.0
