Номер кластера,Центр кластера,Количество элементов в кластере
1,(0.4518125552608312 : 0.5060183496534889),29
2,(0.7100591715976331 : 0.7520811166051197),13
3,(0.12185592185592185 : 0.15546514781665308),15
4,(0.5876923076923076 : 0.6162082994304312),25
5,(0.3226260918568611 : 0.3916254616010514),26
6,(0.8382173382173382 : 0.7272850556007594),6
7,(0.9267399267399267 : 0.9205315975047462),3
