Номер кластера,Центр кластера,Количество элементов в кластере
1,(0.7701863354037267 : 0.7629391162840059),23
2,(0.12185592185592185 : 0.15546514781665308),15
3,(0.34195216548157736 : 0.41269803283396345),34
4,(0.5307285307285308 : 0.5685561884097278),45
