Номер кластера,Центр кластера,Количество элементов в кластере
1,(0.6245421245421245 : 0.6352499773980652),18
2,(0.40647893772893773 : 0.46651240846216435),32
3,(0.10059171597633136 : 0.14395693809851662),13
4,(0.29807692307692313 : 0.3351301871440195),16
5,(0.5008140008140008 : 0.5789711599312901),18
6,(0.7855311355311356 : 0.7739218877135882),20
