Номер кластера,Центр кластера,Количество элементов в кластере
1,(0.7341090282266753 : 0.7247882065763653),17
2,(0.8724053724053725 : 0.8710333604556549),6
3,(0.12185592185592185 : 0.15546514781665308),15
4,(0.5491452991452993 : 0.5888708073411082),36
5,(0.36604480790527305 : 0.42831191931424684),43
