Номер кластера,Центр кластера,Количество элементов в кластере
1,(0.16949716949716948 : 0.21170204896811892),22
2,(0.7092731829573936 : 0.7082351933536037),38
3,(0.4275432170169012 : 0.4899290537164718),57
